ssl_score,age_curr,idoc_res_zip_code,sex_code_cd,race_code_cd,majority_dist,latest_dist_res
351,less than 20,De-identified,M,BLK,De-identified,2
351,20-30,De-identified,M,BLK,De-identified,31
351,less than 20,De-identified,M,WHI,De-identified,31
355,less than 20,De-identified,M,BLK,4,31
356,20-30,De-identified,F,BLK,De-identified,31
353,less than 20,De-identified,M,BLK,De-identified,31
358,less than 20,De-identified,M,BLK,De-identified,31
351,20-30,De-identified,M,WWH,De-identified,31
359,less than 20,De-identified,M,BLK,De-identified,8
351,less than 20,De-identified,M,BLK,De-identified,31
356,less than 20,De-identified,F,BLK,1,11
360,less than 20,De-identified,M,BLK,17,31
355,20-30,De-identified,M,BLK,De-identified,31
352,20-30,De-identified,M,WHI,De-identified,31
357,less than 20,De-identified,M,BLK,De-identified,31
358,less than 20,De-identified,M,BLK,De-identified,31
357,less than 20,De-identified,M,BLK,De-identified,31
353,less than 20,De-identified,M,BLK,De-identified,31
357,less than 20,De-identified,F,WWH,De-identified,31
351,less than 20,De-identified,M,BLK,De-identified,31
353,less than 20,De-identified,F,WHI,De-identified,31
360,20-30,De-identified,F,BLK,22,22
353,less than 20,De-identified,M,BLK,De-identified,31
356,less than 20,De-identified,M,WHI,De-identified,31
350,less than 20,De-identified,M,BLK,De-identified,31
355,less than 20,De-identified,M,WWH,De-identified,14
358,less than 20,De-identified,M,BLK,De-identified,31
359,less than 20,De-identified,M,WWH,De-identified,31
353,less than 20,De-identified,F,BLK,De-identified,22
352,less than 20,De-identified,M,WWH,De-identified,31
358,20-30,De-identified,M,WWH,20,20
354,less than 20,De-identified,M,API,De-identified,31
353,less than 20,De-identified,M,WHI,De-identified,31
350,less than 20,De-identified,F,WHI,De-identified,31
355,less than 20,De-identified,M,WHI,De-identified,31
358,less than 20,De-identified,F,BLK,De-identified,31
354,20-30,De-identified,F,BLK,15,15
356,20-30,De-identified,M,WWH,25,31
358,less than 20,De-identified,F,WHI,De-identified,31
357,less than 20,De-identified,M,WWH,De-identified,31
358,less than 20,De-identified,F,WHI,De-identified,31
351,less than 20,De-identified,M,WHI,1,31
353,less than 20,De-identified,F,BLK,De-identified,31
353,less than 20,De-identified,M,WHI,1,31
358,less than 20,De-identified,M,BLK,De-identified,31
359,less than 20,De-identified,M,BLK,4,31
350,less than 20,De-identified,M,BLK,6,6
350,less than 20,De-identified,F,BLK,De-identified,31
350,less than 20,De-identified,M,WHI,De-identified,31
353,less than 20,De-identified,M,WWH,De-identified,31
353,less than 20,De-identified,F,WWH,De-identified,31
358,less than 20,De-identified,F,BLK,De-identified,31
352,20-30,De-identified,M,WHI,16,16
355,less than 20,De-identified,M,WHI,De-identified,31
353,less than 20,De-identified,M,U,De-identified,31
357,20-30,De-identified,F,BLK,De-identified,31
352,less than 20,De-identified,M,BLK,4,31
357,less than 20,De-identified,F,WWH,De-identified,31
351,less than 20,De-identified,M,BLK,De-identified,31
350,less than 20,De-identified,M,WWH,De-identified,31
354,20-30,De-identified,M,WWH,25,31
353,less than 20,De-identified,M,BLK,De-identified,31
351,less than 20,De-identified,M,WWH,De-identified,31
353,less than 20,De-identified,M,BLK,De-identified,31
351,20-30,De-identified,F,BLK,De-identified,31
358,less than 20,De-identified,M,BLK,De-identified,31
355,less than 20,De-identified,F,BLK,De-identified,31
357,less than 20,De-identified,M,WHI,De-identified,31
311,20-30,De-identified,F,WWH,De-identified,8
351,less than 20,De-identified,M,BLK,De-identified,31
351,20-30,De-identified,F,BLK,6,6
352,20-30,De-identified,M,BLK,19,31
354,20-30,De-identified,M,BLK,De-identified,31
357,less than 20,De-identified,M,WHI,De-identified,31
353,less than 20,De-identified,F,WWH,De-identified,9
353,less than 20,De-identified,M,BLK,De-identified,31
351,less than 20,De-identified,M,BLK,De-identified,31
353,20-30,60620,M,BLK,6,8
354,less than 20,De-identified,M,BLK,8,31
357,less than 20,De-identified,F,BLK,De-identified,31
356,less than 20,De-identified,F,BLK,1,31
354,less than 20,De-identified,M,WHI,De-identified,31
351,less than 20,De-identified,M,WWH,De-identified,31
350,20-30,De-identified,M,BLK,De-identified,31
356,less than 20,De-identified,M,BLK,De-identified,31
355,20-30,De-identified,M,BLK,De-identified,31
353,less than 20,De-identified,M,WWH,De-identified,17
350,less than 20,De-identified,F,BLK,De-identified,31
358,20-30,De-identified,M,WHI,19,16
353,less than 20,De-identified,M,WWH,De-identified,31
358,less than 20,De-identified,M,BLK,De-identified,31
354,less than 20,De-identified,M,BLK,De-identified,31
357,less than 20,De-identified,M,WWH,De-identified,31
354,less than 20,De-identified,M,WHI,De-identified,31
357,less than 20,De-identified,M,BLK,De-identified,31
353,less than 20,De-identified,M,WWH,De-identified,24
357,less than 20,De-identified,M,WHI,De-identified,31
358,less than 20,De-identified,M,WWH,De-identified,31
360,20-30,De-identified,M,BLK,De-identified,31
356,less than 20,De-identified,M,BLK,De-identified,31
356,20-30,De-identified,M,BLK,De-identified,31
355,less than 20,De-identified,M,WHI,De-identified,31
354,less than 20,De-identified,M,BLK,De-identified,31
354,less than 20,De-identified,M,BLK,De-identified,31
360,less than 20,De-identified,M,WWH,31,31
354,less than 20,De-identified,M,WHI,17,17
350,less than 20,De-identified,M,WHI,De-identified,31
353,less than 20,De-identified,M,WWH,De-identified,31
357,less than 20,De-identified,M,WHI,De-identified,31
350,less than 20,De-identified,M,WWH,De-identified,31
350,less than 20,De-identified,F,BLK,De-identified,31
359,less than 20,De-identified,F,BLK,De-identified,31
351,20-30,De-identified,M,WWH,15,25
353,less than 20,De-identified,F,WHI,De-identified,31
351,less than 20,De-identified,M,BLK,De-identified,31
354,less than 20,De-identified,M,WWH,De-identified,31
351,less than 20,De-identified,F,WWH,De-identified,31
353,less than 20,De-identified,F,WWH,De-identified,31
354,20-30,De-identified,M,WWH,10,10
352,less than 20,De-identified,M,BLK,8,31
357,20-30,De-identified,M,WHI,De-identified,31
354,less than 20,De-identified,M,WWH,De-identified,31
357,30-40,De-identified,M,BLK,7,31
357,less than 20,De-identified,M,BLK,De-identified,31
354,less than 20,De-identified,M,WWH,De-identified,31
352,less than 20,De-identified,M,BLK,De-identified,10
356,less than 20,De-identified,M,BLK,De-identified,31
357,20-30,De-identified,F,BLK,De-identified,31
357,less than 20,De-identified,M,BLK,De-identified,31
357,less than 20,De-identified,M,BLK,De-identified,31
356,20-30,De-identified,M,WHI,De-identified,31
358,less than 20,De-identified,F,WHI,De-identified,31
353,20-30,De-identified,F,WHI,De-identified,31
351,less than 20,De-identified,M,BLK,De-identified,31
357,20-30,De-identified,F,BLK,7,31
357,less than 20,De-identified,M,BLK,De-identified,31
353,less than 20,De-identified,F,BLK,De-identified,31
354,less than 20,De-identified,M,BLK,De-identified,31
350,less than 20,De-identified,M,BLK,De-identified,2
352,less than 20,De-identified,F,WHI,De-identified,31
351,less than 20,De-identified,M,BLK,De-identified,31
355,less than 20,De-identified,M,BLK,De-identified,31
354,less than 20,De-identified,F,BLK,De-identified,31
359,less than 20,De-identified,M,BLK,De-identified,31
360,20-30,De-identified,M,BLK,11,31
355,less than 20,De-identified,F,BLK,De-identified,31
354,less than 20,De-identified,M,WWH,De-identified,31
353,less than 20,De-identified,M,BLK,14,16
351,20-30,De-identified,M,WHI,8,8
354,less than 20,De-identified,M,WHI,De-identified,31
354,20-30,De-identified,M,BLK,De-identified,31
358,less than 20,De-identified,M,BLK,De-identified,31
356,20-30,De-identified,F,BLK,1,6
353,less than 20,De-identified,M,WHI,De-identified,31
350,less than 20,De-identified,M,BLK,De-identified,31
183,50-60,De-identified,F,WHI,1,31
354,less than 20,De-identified,M,WHI,De-identified,31
303,20-30,De-identified,F,WHI,25,31
360,less than 20,De-identified,M,WWH,De-identified,31
354,less than 20,De-identified,M,BLK,De-identified,5
356,less than 20,De-identified,M,BLK,De-identified,31
359,less than 20,De-identified,M,WWH,De-identified,31
352,less than 20,De-identified,M,WWH,De-identified,31
357,20-30,De-identified,M,WHI,16,16
354,less than 20,De-identified,M,WWH,De-identified,31
354,less than 20,De-identified,M,WWH,De-identified,31
356,less than 20,De-identified,M,BLK,De-identified,31
358,20-30,De-identified,M,BLK,25,31
357,less than 20,De-identified,M,BLK,De-identified,31
353,less than 20,De-identified,M,BLK,4,31
354,less than 20,De-identified,M,WWH,De-identified,31
356,less than 20,De-identified,M,BLK,4,22
358,less than 20,De-identified,M,WWH,De-identified,31
355,less than 20,De-identified,M,WHI,De-identified,31
351,less than 20,De-identified,M,WWH,De-identified,31
350,less than 20,De-identified,F,BLK,De-identified,31
352,less than 20,De-identified,M,WHI,De-identified,31
359,less than 20,De-identified,F,BLK,De-identified,10
354,less than 20,De-identified,M,WWH,De-identified,31
350,less than 20,De-identified,M,WHI,De-identified,31
352,less than 20,De-identified,M,WWH,16,31
354,less than 20,De-identified,M,BLK,19,31
358,less than 20,De-identified,M,WWH,De-identified,31
356,less than 20,De-identified,M,BLK,De-identified,31
351,less than 20,De-identified,M,WWH,De-identified,31
353,less than 20,De-identified,F,WWH,De-identified,31
357,less than 20,De-identified,M,BLK,De-identified,31
358,less than 20,De-identified,M,BLK,De-identified,10
350,less than 20,De-identified,M,BLK,22,31
354,less than 20,De-identified,F,BLK,De-identified,31
358,less than 20,De-identified,F,BLK,De-identified,31
355,less than 20,De-identified,F,WWH,De-identified,31
357,less than 20,De-identified,F,BLK,De-identified,31
353,less than 20,De-identified,F,BLK,De-identified,31
353,less than 20,De-identified,M,WHI,De-identified,31
353,less than 20,De-identified,M,BLK,De-identified,31
359,less than 20,De-identified,M,WHI,De-identified,31
359,less than 20,De-identified,F,BLK,De-identified,31
353,20-30,De-identified,M,WHI,De-identified,31
350,less than 20,De-identified,M,WHI,De-identified,31
353,less than 20,De-identified,M,WWH,De-identified,31
359,less than 20,De-identified,M,WWH,De-identified,31
358,less than 20,De-identified,F,WHI,De-identified,31
355,20-30,De-identified,M,BLK,De-identified,31
356,less than 20,De-identified,M,BLK,De-identified,31
352,less than 20,De-identified,F,WWH,De-identified,31
354,less than 20,De-identified,F,WWH,De-identified,31
356,20-30,De-identified,M,BLK,De-identified,31
358,20-30,De-identified,M,WHI,9,24
357,less than 20,De-identified,M,WWH,De-identified,31
352,less than 20,De-identified,M,BLK,De-identified,31
354,less than 20,De-identified,M,WWH,De-identified,31
352,less than 20,De-identified,M,BLK,De-identified,31
350,20-30,De-identified,M,BLK,10,31
355,less than 20,De-identified,M,BLK,De-identified,31
360,less than 20,De-identified,M,WHI,De-identified,31
357,20-30,De-identified,M,BLK,De-identified,31
353,less than 20,De-identified,M,BLK,De-identified,31
356,less than 20,De-identified,F,WWH,8,8
357,less than 20,De-identified,M,BLK,De-identified,31
352,less than 20,De-identified,M,BLK,De-identified,31
357,less than 20,De-identified,M,WWH,De-identified,31
359,less than 20,De-identified,M,BLK,31,31
354,less than 20,De-identified,M,WHI,De-identified,31
351,less than 20,De-identified,M,BLK,De-identified,31
358,20-30,De-identified,M,WHI,19,16
356,less than 20,De-identified,M,BLK,De-identified,31
356,20-30,De-identified,M,BLK,31,31
353,less than 20,De-identified,F,BLK,De-identified,31
351,less than 20,De-identified,M,BLK,De-identified,31
353,less than 20,De-identified,M,BLK,De-identified,31
358,20-30,De-identified,F,BLK,8,22
355,20-30,De-identified,M,BLK,De-identified,31
359,less than 20,De-identified,M,WWH,De-identified,31
358,less than 20,De-identified,M,BLK,De-identified,31
360,less than 20,De-identified,F,WWH,8,31
356,less than 20,De-identified,M,BLK,9,15
358,20-30,De-identified,M,BLK,5,5
360,less than 20,De-identified,M,WWH,De-identified,31
358,less than 20,De-identified,M,WHI,De-identified,31
359,less than 20,De-identified,F,BLK,De-identified,31
358,less than 20,De-identified,M,WHI,De-identified,31
356,less than 20,De-identified,M,BLK,De-identified,31
358,less than 20,De-identified,M,BLK,De-identified,31
350,less than 20,De-identified,M,BLK,De-identified,31
352,less than 20,De-identified,M,BLK,De-identified,5
357,less than 20,De-identified,M,WHI,De-identified,31
351,less than 20,De-identified,F,WHI,De-identified,31
358,20-30,De-identified,M,BLK,7,31
358,less than 20,De-identified,F,WHI,De-identified,31
354,less than 20,De-identified,M,WHI,De-identified,31
351,20-30,De-identified,F,WHI,16,31
354,less than 20,De-identified,M,U,De-identified,31
357,less than 20,De-identified,M,BLK,De-identified,31
358,less than 20,De-identified,M,WHI,De-identified,10
357,less than 20,De-identified,F,WHI,De-identified,31
375,less than 20,De-identified,M,BLK,De-identified,31
396,20-30,De-identified,M,BLK,De-identified,4
362,less than 20,De-identified,M,BLK,De-identified,31
364,20-30,De-identified,M,BLK,11,25
391,less than 20,De-identified,M,WHI,De-identified,31
374,less than 20,De-identified,M,BLK,De-identified,31
412,20-30,De-identified,M,BLK,5,6
370,less than 20,De-identified,M,BLK,De-identified,31
385,20-30,De-identified,M,BLK,31,31
370,20-30,De-identified,M,BLK,8,31
